data,vendas,campanha_ativa,feriado
2022-01-01,117.9,0,0
2022-01-02,104.79,1,0
2022-01-03,111.11,0,0
2022-01-04,124.26,0,0
2022-01-05,121.06,0,0
2022-01-06,93.15,0,0
2022-01-07,112.95,0,0
2022-01-08,102.47,0,0
2022-01-09,103.48,1,0
2022-01-10,109.14,1,0
2022-01-11,107.01,0,1
2022-01-12,120.64,0,0
2022-01-13,114.23,0,0
2022-01-14,108.36,0,0
2022-01-15,112.11,0,0
2022-01-16,111.53,0,0
2022-01-17,123.66,0,0
2022-01-18,107.19,0,0
2022-01-19,112.89,0,0
2022-01-20,101.73,1,0
2022-01-21,85.26,0,0
2022-01-22,117.84,0,0
2022-01-23,120.46,1,0
2022-01-24,104.91,0,0
2022-01-25,135.54,1,0
2022-01-26,98.81,0,0
2022-01-27,114.31,0,0
2022-01-28,112.49,0,0
2022-01-29,130.19,0,0
2022-01-30,130.06,0,0
2022-01-31,117.41,1,0
2022-02-01,120.14,0,0
2022-02-02,107.97,0,0
2022-02-03,97.53,0,0
2022-02-04,114.35,1,0
2022-02-05,119.88,0,0
2022-02-06,131.1,1,0
2022-02-07,131.3,0,0
2022-02-08,115.88,0,0
2022-02-09,117.21,0,0
2022-02-10,110.22,0,0
2022-02-11,106.97,0,0
2022-02-12,104.58,0,0
2022-02-13,141.61,0,0
2022-02-14,117.47,0,0
2022-02-15,118.64,0,0
2022-02-16,110.95,0,0
2022-02-17,131.7,1,0
2022-02-18,108.23,0,0
2022-02-19,122.69,0,0
2022-02-20,116.3,0,0
2022-02-21,129.57,0,0
2022-02-22,121.02,0,0
2022-02-23,114.75,0,0
2022-02-24,126.71,0,0
2022-02-25,131.69,1,0
2022-02-26,128.5,0,0
2022-02-27,131.27,0,0
2022-02-28,122.32,0,0
2022-03-01,125.44,1,0
2022-03-02,122.75,0,0
2022-03-03,126.28,0,0
2022-03-04,122.14,0,0
2022-03-05,113.4,0,0
2022-03-06,132.83,0,0
2022-03-07,127.42,0,0
2022-03-08,115.52,0,0
2022-03-09,136.82,0,0
2022-03-10,123.5,0,0
2022-03-11,133.46,0,0
2022-03-12,140.59,0,0
2022-03-13,134.95,0,0
2022-03-14,145.41,0,0
2022-03-15,122.02,1,0
2022-03-16,138.74,0,0
2022-03-17,128.21,0,0
2022-03-18,126.69,0,0
2022-03-19,129.95,0,1
2022-03-20,132.95,1,0
2022-03-21,136.95,0,0
2022-03-22,125.06,0,0
2022-03-23,146.04,0,0
2022-03-24,142.0,1,0
2022-03-25,122.29,1,0
2022-03-26,152.84,0,0
2022-03-27,157.22,0,1
2022-03-28,150.34,0,0
2022-03-29,137.05,0,0
2022-03-30,128.42,0,0
2022-03-31,149.96,0,0
2022-04-01,135.66,0,0
2022-04-02,152.19,0,0
2022-04-03,142.32,0,0
2022-04-04,150.26,0,0
2022-04-05,144.32,0,0
2022-04-06,148.08,0,0
2022-04-07,141.37,0,0
2022-04-08,159.37,1,0
2022-04-09,143.02,0,0
2022-04-10,146.01,1,0
2022-04-11,161.06,0,0
2022-04-12,128.98,0,0
2022-04-13,129.97,0,1
2022-04-14,152.59,0,0
2022-04-15,131.38,0,0
2022-04-16,162.76,0,0
2022-04-17,139.4,0,0
2022-04-18,136.26,0,0
2022-04-19,163.16,0,0
2022-04-20,158.93,0,0
2022-04-21,163.0,0,0
